username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
moniquemgel;2018-03-17 16:37;0;2;"Hollywood Born & Raised baby! First time at the top of the Griffith Observatory for us LA babies! Hard to believe we've lived here our whole lives and haven't done this until today! #adventureswithbae #adventuretime #Saturday #hike #home #hollywoodsign #Hollywood #bornandraised pic.twitter.com/ykzHd5Fw9A";;;#adventureswithbae #adventuretime #Saturday #hike #home #hollywoodsign #Hollywood #bornandraised;"975154172608696320";https://twitter.com/moniquemgel/status/975154172608696320
battletapes;2018-03-17 15:34;0;0;"Fun early afternoon at Griffith observatory with the homie Kevin thedirtiestlittlerainbow So… https://www. instagram.com/p/BgcPZqCli0F/";;;;"975138272006590464";https://twitter.com/battletapes/status/975138272006590464
2bitchesjules;2018-03-17 15:14;0;0;"#bitchlife @Griffith Observatory https://www. instagram.com/p/BgcNI4wHZ7a/";;@Griffith;#bitchlife;"975133291039801344";https://twitter.com/2bitchesjules/status/975133291039801344
thugwaja;2018-03-17 14:17;0;3;"I need to be watching at Griffith Observatory";;;;"975119072739213312";https://twitter.com/thugwaja/status/975119072739213312
justinmgrider;2018-03-17 13:39;0;0;"What a dump. #hollywoodsign #griffithobservatory #dtla #sunshine #clouds #aftertherain #hike @… https://www. instagram.com/p/BgcCRoQBQQx/";;@;#hollywoodsign #griffithobservatory #dtla #sunshine #clouds #aftertherain #hike;"975109405766275072";https://twitter.com/justinmgrider/status/975109405766275072
BBragusMFC;2018-03-17 13:29;1;22;"Griffith observatory . Planetarium pic.twitter.com/r7DUgGvK37";;;;"975106906317451265";https://twitter.com/BBragusMFC/status/975106906317451265
go_for_melissa;2018-03-17 13:22;0;1;"Griffith Observatory #heyLA pic.twitter.com/T8MZ3CBkvg";;;#heyLA;"975105210908475393";https://twitter.com/go_for_melissa/status/975105210908475393
Dnhoneck10;2018-03-17 13:21;0;1;"This view of Griffith Observatory makes me wish I could have brought my bike to Cali. #Trail @ktmbikesusa pic.twitter.com/ZfCdCM7aqs";;@ktmbikesusa;#Trail;"975104801229955073";https://twitter.com/Dnhoneck10/status/975104801229955073
go_for_melissa;2018-03-17 13:17;0;5;"From the top of Griffith Observatory #heyLA pic.twitter.com/jioBfoWbhA";;;#heyLA;"975103935915614208";https://twitter.com/go_for_melissa/status/975103935915614208
Krucial;2018-03-17 13:09;1;1;"Movement is Key. Keep it moving ... onward, forward, upward... #griffithobservatory http:// ift.tt/2pkfum7";;;#griffithobservatory;"975101908078727168";https://twitter.com/Krucial/status/975101908078727168
Krucial;2018-03-17 13:09;0;0;"Movement is Key. Keep it moving ... onward, forward, upward... #griffithobservatory http:// ift.tt/2DB3alx pic.twitter.com/CV32nDL8bI";;;#griffithobservatory;"975101902420619264";https://twitter.com/Krucial/status/975101902420619264
DannyBatsalkin;2018-03-17 12:41;0;1;"#JustListed 2286 Vasanta Way perched atop the hills above Hollywood is a unique home you won’t want to miss! Sweeping views of downtown LA, the landmark Hollywood sign, and Griffith Observatory make this a #MustSee home. Stop by and see it for yourself t… http:// ift.tt/2GDi0LC pic.twitter.com/zb5mZrDvII";;;#JustListed #MustSee;"975094864420458498";https://twitter.com/DannyBatsalkin/status/975094864420458498
mandeemiller;2018-03-17 12:41;0;0;"What a gorgeous #stpattysday for a hike! @griffithobservatory _uo with @space_witch666 . . #nofilterneeded ... https:// fb.me/I1MU1Mjw";;@griffithobservatory @space_witch666;#stpattysday #nofilterneeded;"975094751212032000";https://twitter.com/mandeemiller/status/975094751212032000
mandeemiller;2018-03-17 12:40;0;0;"What a gorgeous #stpattysday for a hike! griffithobservatory _uo with @alka_seltzer666 … https://www. instagram.com/p/Bgb7kC7Hb6z/";;@alka_seltzer666;#stpattysday;"975094643854598146";https://twitter.com/mandeemiller/status/975094643854598146
DreamKeeper21;2018-03-17 12:38;0;0;"First stop on the #weekendRoadTrip @Griffith Observatory https://www. instagram.com/p/Bgb7Rj9AqMh/";;@Griffith;#weekendRoadTrip;"975094017191968768";https://twitter.com/DreamKeeper21/status/975094017191968768
EvaGriffith19;2018-03-17 10:21;0;1;"The mail box isn’t big enough for a script. I don’t think my flapper girl ever got a part. This film LA LA Land was just on the telly. I never got to see it because I was looking after... Goodness I’d better get back to 16th-17th-cent theatre. #GriffithObservatory";;;#GriffithObservatory;"975059549362122752";https://twitter.com/EvaGriffith19/status/975059549362122752
TROo0K;2018-03-17 09:57;0;0;"Griffith Observatory مرصد جريفيث . . #usa #calforne #sanantonio #sanfrancisco #Austin #photo #canon #صوري #عدسة #انستقرام #فوتو #غرد_بصورة #تصوير #سياحة #صورة #تصويري #أبها #عرب_فوتو #هيئة_السياحة pic.twitter.com/AwjeUxLvgY";;;#usa #calforne #sanantonio #sanfrancisco #Austin #photo #canon # # # # # # # # # # # #;"975053596306935816";https://twitter.com/TROo0K/status/975053596306935816
